Sr,Population,value
2059.7466909107484,Competition Specialist,6733.629502911189
2086.024089248505,Competition Specialist,6733.6295030318315
2112.6367237910063,Competition Specialist,6733.629506814538
2139.5888713434215,Competition Specialist,6733.629503061323
2166.8848632726344,Competition Specialist,6733.6295030337
2194.5290862033135,Competition Specialist,6733.629503007112
2222.525982722885,Competition Specialist,6733.629503033903
2250.880052095462,Competition Specialist,6733.62950303381
2279.5958509849193,Competition Specialist,6733.6295029851735
2308.6779941871696,Competition Specialist,6733.629503033151
2338.1311553717815,Competition Specialist,6733.629502983068
2367.9600678330785,Competition Specialist,6733.629503031713
2398.169525250793,Competition Specialist,6733.629503031834
2428.7643824604506,Competition Specialist,6733.629503031863
2459.7495562335657,Competition Specialist,6733.629503031749
2491.1300260677885,Competition Specialist,6733.629503031801
2522.910834987154,Competition Specialist,6733.629503031464
2555.097090352507,Competition Specialist,6733.629503031803
2587.693964682303,Competition Specialist,6733.629503029865
2620.7066964838523,Competition Specialist,6733.6295030319725
2654.1405910951735,Competition Specialist,6733.629503031781
2688.0010215376074,Competition Specialist,6733.629503031772
2722.293429379274,Competition Specialist,6733.629503031528
2757.0233256095826,Competition Specialist,6733.62950303299
2792.19629152487,Competition Specialist,6733.62950303177
2827.817979625341,Competition Specialist,6733.62950303166
2863.894114523477,Competition Specialist,6733.629501100366
2900.4304938639916,Competition Specialist,6733.6295030317515
2937.4329892555656,Competition Specialist,6733.629503032158
2974.9075472144405,Competition Specialist,6733.629503024029
3012.86019012005,Competition Specialist,6733.629503041148
3051.297017182871,Competition Specialist,6733.629503023969
3090.2242054245785,Competition Specialist,6733.629503031448
3129.6480106707504,Competition Specialist,6733.629503049615
3169.574768556207,Competition Specialist,6733.62966462802
3210.0108955431715,Competition Specialist,6733.5157510576855
3250.96288995246,Competition Specialist,6733.6295027655
3292.4373330077688,Competition Specialist,6733.629503037037
3334.4408898933416,Competition Specialist,6733.6295029848025
3376.9803108250912,Competition Specialist,6733.629503022313
3420.062432135391,Competition Specialist,6733.629503043599
3463.6941773717344,Competition Specialist,6733.629503025245
3507.882558409363,Competition Specialist,6733.62950303097
3552.6346765781395,Competition Specialist,6733.629501349688
3597.9577238037637,Competition Specialist,6733.629503032951
3643.8589837635445,Competition Specialist,6733.629503031736
3690.3458330569547,Competition Specialist,6733.629503031644
3737.425742391064,Competition Specialist,6733.6295030317
3785.106277781153,Competition Specialist,6733.6295030317015
3833.3951017666013,Competition Specialist,6733.629503031703
3882.299974642294,Competition Specialist,6733.629503031688
3931.82875570577,Competition Specialist,6733.62950303169
3981.9894045202295,Competition Specialist,6733.6295030316915
4032.7899821937053,Competition Specialist,6733.629503031688
4084.2386526745217,Competition Specialist,6733.629503031615
4136.343684063274,Competition Specialist,6733.629503031659
4189.113449941588,Competition Specialist,6733.629503031726
4242.556430717777,Competition Specialist,6733.629503031695
4296.6812149897105,Competition Specialist,6733.629503031698
4351.49650092505,Competition Specialist,6733.629503031693
4407.011097659075,Competition Specialist,6733.629503031803
4463.233926710397,Competition Specialist,6733.629503031693
4520.174023414664,Competition Specialist,6733.629503031692
4577.840538376617,Competition Specialist,6733.629503031692
4636.242738940639,Competition Specialist,6733.629503031684
4695.390010680058,Competition Specialist,6733.6295030316915
4755.291858905486,Competition Specialist,6733.629503031696
4815.957910192351,Competition Specialist,6733.629503031698
4877.397913927969,Competition Specialist,6733.629503031708
4939.621743878321,Competition Specialist,6733.629503031601
5002.6393997748,Competition Specialist,6733.62950303169
5066.461008921268,Competition Specialist,6733.629503031692
5131.096827821533,Competition Specialist,6733.629503031699
5196.557243827658,Competition Specialist,6733.629503031684
5262.852776809257,Competition Specialist,6733.629503031685
5329.994080844088,Competition Specialist,6733.629503031691
5397.991945930254,Competition Specialist,6733.629503031689
5466.857299720181,Competition Specialist,6733.62950303169
5536.601209276792,Competition Specialist,6733.629503031692
5607.234882852033,Competition Specialist,6733.629503031693
5678.76967168809,Competition Specialist,6733.62950303169
5751.217071841614,Competition Specialist,6733.629503031682
5824.588726031214,Competition Specialist,6733.629503031697
5898.896425508493,Competition Specialist,6733.629503031691
5974.152111952983,Competition Specialist,6733.629503031662
6050.367879391224,Competition Specialist,6733.6295030316915
6127.555976140354,Competition Specialist,6733.629503031691
6205.7288067765,Competition Specialist,6733.629503031692
6284.898934128248,Competition Specialist,6733.629503031698
6365.079081295571,Competition Specialist,6733.629503031693
6446.282133694491,Competition Specialist,6733.629503031691
6528.521141127847,Competition Specialist,6733.629503031779
6611.809319882495,Competition Specialist,6733.6295030316915
6696.160054853222,Competition Specialist,6733.629503031587
