t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C,Sr
1999.0,0.19999999999999923,219915.87333250436,-1.9488637260180847e-10,-2.0985206946960305e-13,-1.1055555236824258e-15,5.422811148673937e-17,-4.145441394310883e-18,-6.52041136136487e-20,-5.774849982847202e-21,1.698531114560064e-19,4.1433941469985674e-20,1.0157559600353038e-19,43983.17466650228
1999.0,0.19999999999999932,225568.5883042816,-1.7434929187762367e-10,-1.9754906968211736e-13,-1.0601199248685395e-15,4.9009845644442713e-17,-3.567046995551279e-18,-9.14167636705312e-20,-1.921156047152384e-20,1.530700116509204e-19,3.6314018262166835e-20,6.031238472711837e-20,45113.717660857656
1999.0,0.19999999999999932,231366.60059392784,-1.8379309203333806e-10,-2.033848560395305e-13,-1.0749958215068195e-15,5.1540090062694163e-17,-3.9683605696340306e-18,-6.88195776500173e-20,-5.226503672141239e-21,1.6102765306538454e-19,3.851042033373062e-20,4.3915476337639053e-20,46273.320118786934
1999.0,0.19999999999999946,237313.64492196083,-1.5869680639242731e-10,-1.8743482069850092e-13,-1.0039970236327105e-15,4.526483749832646e-17,-3.536629968980547e-18,-7.785674032735749e-20,-3.6362477750811466e-21,1.417842381020975e-19,3.2130457130115125e-20,1.1053268355305863e-20,47462.728984393456
1999.0,0.1999999999999999,243413.55200611576,2.1582360421784259e-10,1.0281473965818991e-14,-3.8215449160958754e-17,4.26820673221488e-18,-4.691716597891193e-19,1.8544594501598225e-19,1.8657417287751753e-19,2.6154130600281496e-20,-8.976011748976266e-21,1.9321638966771281e-19,48682.71040122284
1999.0,0.19999999999999957,249670.25102881988,-1.4077936265669084e-10,-1.7454630051327007e-13,-9.550311936999878e-16,4.057745940812223e-17,-3.045465707828596e-18,-1.1433491393703968e-19,-1.6188162793394277e-20,1.2722159155354961e-19,2.785811673606353e-20,-7.07498499724701e-20,49934.050205765205
1999.0,0.20000000000000082,256087.77216821586,-5.412189265812357e-10,-1.732470800715325e-13,-2.6850974077487786e-15,-2.3598446069998086e-16,4.600602679015463e-17,-2.5623401408049165e-18,-1.1329863630520747e-18,-1.015839851611015e-19,-4.205103042050209e-21,-1.6128832283870532e-18,51217.554433642414
1999.0,0.20000000000000068,262670.2491940333,-1.0760897518923216e-10,-1.1950724795143293e-13,-3.0103566248290137e-15,-1.6288197207907388e-17,1.762477978037226e-17,-8.687936874560942e-19,-1.9733110074249948e-19,-1.0928972381884589e-20,-2.470035718145752e-22,-3.688724032740689e-19,52534.04983880626
1999.0,0.19999999999999973,269421.9221304111,4.249309188663133e-10,6.288036633985253e-14,2.41761264178725e-16,-1.1113838408345657e-17,-7.649894017966499e-20,-9.657720659800692e-20,8.429476708518973e-20,4.3673927640157577e-20,6.573665936555248e-21,5.1830603607994465e-20,53884.38442608224
1999.0,0.19999999999999768,276347.13998699706,-5.964717531694801e-10,-2.48598214066091e-13,5.199330426468443e-16,1.1899090260656606e-16,-3.4124206788563877e-17,-3.529453785582394e-18,-1.3987742610250798e-18,-6.748069917851368e-19,-8.563129628714231e-20,-1.3372953373792251e-18,55269.427997401675
1999.0,0.2000000000000001,283450.36356036906,-6.625909963664583e-10,-2.9576409100326205e-15,-7.6901982491666715e-19,1.36917494070211e-20,-1.6265794646503435e-21,-1.2784590234293774e-22,-3.511782016436157e-24,-5.7193231392649584e-27,1.6146683347058553e-26,-2.6874327621064084e-23,56690.07271207434
1999.0,0.1999999999999997,290736.1683073113,3.144803394332938e-10,2.813063851852857e-14,3.3865444690602285e-17,2.2434967978664058e-18,-7.245025859266907e-20,2.327555328404011e-19,-5.76605128110943e-20,-1.2516349825392172e-19,-4.680393694417481e-20,1.5525911689436992e-19,58147.233661462196
1999.0,0.1999999999999999,298209.2472921145,2.520425600581813e-10,5.587981664942862e-14,5.3378119298351765e-15,-1.3516234454736526e-17,-1.4999348674174508e-17,3.8294214985736996e-19,3.854147837242271e-20,9.895022426694451e-22,-1.1447068724714548e-23,2.619814047690266e-19,59641.8494584246
1999.0,0.19999999999999976,305874.41420957353,2.955118453693043e-10,2.3743920210225047e-14,9.773656376013933e-18,3.7059550682475784e-18,2.0586162741881928e-19,2.4622802609887823e-19,-6.984232667172428e-20,-1.4035328632465366e-19,-5.331093743576686e-20,2.1591094256961656e-19,61174.882841914594
1999.0,0.2,313736.6064855794,5.746075036100505e-10,1.214940901918668e-13,5.825073536128512e-16,-3.7717006098635313e-17,2.47587836464712e-18,-8.44633930893586e-19,-4.13038807910995e-19,-2.4419445768960186e-20,2.555438082470784e-20,-8.74769318604601e-19,62747.32129711575
1999.0,0.19999999999999984,321800.8884575955,2.6400890549273064e-10,7.951125906350696e-15,8.350954149589414e-17,-1.6207403935645482e-18,3.352360453542932e-20,4.160696344011943e-20,7.858651654274897e-20,-9.593078765729223e-21,-9.902963176054396e-22,2.82600769303582e-20,64360.17769151892
1999.0,0.19999999999999948,330072.4546367359,-2.635932648021817e-10,-4.525090265063239e-14,-3.2060616940506886e-16,-4.960076456322018e-18,-1.430704874377172e-19,-8.04406257779884e-20,-8.289838427114255e-20,5.6427412316272415e-21,1.3475227802542928e-21,1.937055605568773e-20,66014.49092734883
1999.0,0.2000000000001879,338556.6330538651,-5.393520508955074e-09,-5.85224460779138e-12,1.1336278350638455e-14,2.763631802120851e-15,-3.1818687002688746e-16,3.800997536044697e-17,3.847674251903707e-18,1.2402441923158337e-18,-7.865003073348465e-19,2.2212820173942208e-17,67711.32661076066
1999.0,0.20000000000000032,347258.8886911843,-6.689612499515614e-10,-2.1962613203712375e-13,7.436975582083744e-16,1.1395533424282575e-16,-3.5367476203728224e-17,-4.422925212587399e-19,6.204580056077572e-19,-8.821207711493327e-20,-6.659971631593096e-21,-6.930561366066947e-18,69451.77773823704
1999.0,0.20000000000000484,356184.82700314844,1.0580792818247522e-09,2.1403287546838594e-13,-2.399110023115608e-15,-1.781954332261476e-16,4.724428577728323e-17,3.850031726607202e-18,-1.9635851276181922e-18,1.6353440932908983e-19,1.0020255227136365e-20,2.388854105873754e-17,71236.96540062944
1999.0,0.19999999999999818,365340.1975264663,-3.4862404172761074e-10,-1.1583290294787837e-13,-4.764157565269965e-17,2.346103583311e-18,2.026126316540796e-18,-7.455601621128858e-19,-1.6665478460271084e-19,6.524850370033566e-20,-7.081842874758195e-21,9.053304683352722e-19,73068.03950529508
1999.0,0.1999999999999944,374730.89758398256,2.8397902677699417e-09,4.216681757921356e-13,-1.4157380667067778e-15,-8.783359634413402e-17,9.808523450378228e-18,-2.4236569115493976e-19,4.2728914600838833e-19,-2.737435678437221e-20,-9.044476047331699e-21,4.530592252845972e-18,74946.17951679602
1999.0,0.20000000000000015,384362.97608318954,1.4471963138985334e-10,5.0447716629243956e-15,6.879316000708082e-17,1.8012679911504455e-18,-1.5822289885338034e-19,-8.938570773876085e-20,3.013387790000471e-20,1.2845609981177397e-21,-5.444920220416523e-22,-3.410080541701506e-19,76872.59521663736
1999.0,0.19999999999999893,394242.63741265616,-4.1785033958326886e-10,-2.4530982571437864e-13,4.735360662301672e-16,9.261641406370682e-17,-2.7661588130361835e-17,-2.926130755551387e-19,3.564312840581851e-19,-4.506118893976916e-20,-9.247874845284812e-21,-2.4311351477592588e-17,78848.52748253345
1999.0,0.20000000000000004,404376.2454385252,1.6867114036307013e-10,6.434256237784575e-15,8.94283387159305e-17,-9.085873776342703e-19,-2.7004018654339747e-19,-2.294222799370703e-19,4.183229892287624e-20,1.0345684367356121e-21,-1.4142886943958358e-21,-1.0393540353760696e-19,80875.24908770458
1999.0,0.1999999999999999,414770.3276035941,2.427041566608223e-10,7.965248035700175e-15,9.967598906864762e-17,-5.678824776453825e-19,-5.425318961010222e-19,-3.6233461186094075e-19,6.954241038998471e-20,-3.712055115922721e-21,-2.1461998038966778e-21,4.597435708293096e-19,82954.06552071858
1999.0,0.19999999999999984,425431.5791320215,-3.739901056911304e-10,-3.4382498046014874e-14,-6.139041862395309e-17,8.781268835138597e-19,-1.044354164815657e-18,-2.3726281965648295e-19,1.4163668640075845e-19,1.0423274824111333e-19,2.231172523763652e-20,-3.2109233922028892e-18,85086.31582640581
1999.0,0.2,436366.86734194675,1.8015263429820634e-10,6.907779722426006e-15,9.780922086434246e-17,-6.90964648162316e-19,-2.139927383485198e-19,-3.677628578663425e-19,-5.922294805565823e-21,-1.0763233498768022e-20,-1.650852203735166e-21,2.3122348328478508e-18,87273.37346838892
1999.0,0.19999999999999968,447583.23606891825,-7.725056269604923e-10,-3.1684230178105825e-13,1.5755724205996077e-15,1.3115526614465153e-16,-1.1276990072743324e-17,7.0271597319146e-18,2.1117978087817968e-18,-8.165193972108445e-22,-9.551627879096624e-20,1.767943865363693e-17,89516.64721378301
1999.0,0.19999999999999546,459087.9102031851,2.6309832403107084e-09,4.061803427110484e-13,-9.384189603401136e-16,-7.329179915176974e-17,2.656335837033581e-18,5.059706834126811e-19,5.724788325331715e-19,-1.5653599080947448e-19,5.766888893887834e-21,-3.263471907093863e-17,91817.58204063625
1999.0,0.1999999999999987,470888.30034346454,-5.951891051551343e-10,-2.5827391295539696e-13,1.3394677515135547e-15,1.1382263783675896e-16,-1.589040408954383e-17,2.7660106390004008e-18,1.257131240863665e-19,-1.0694001591179484e-19,7.353555988561159e-22,7.243428043701227e-17,94177.66006869519
1999.0,0.19999999999999973,482992.00757046614,-2.9008516739437034e-10,-6.881267741800922e-14,-7.294850949605744e-17,1.9210013220801052e-17,-2.3344029459487813e-18,-4.295244062388541e-20,-4.8620929586636523e-20,2.7207470170720893e-20,1.6054617390312936e-21,2.930743260645397e-17,96598.40151409463
1999.0,0.19999999999999984,495406.82834292593,-4.006428478735751e-10,-3.923899589447935e-14,-2.033766888134167e-17,-5.0562532448161145e-18,1.4547459121903264e-18,4.498552148914179e-22,-7.541655930890658e-22,-3.6416774501100027e-22,-9.27725707694387e-23,-2.2900966221683956e-17,99081.36566858666
