Sr,Population,value
3169.574768556207,Competition Specialist,6733.6296614826815
3210.0108955431715,Competition Specialist,6733.5117903877945
3250.96288995246,Competition Specialist,6733.620680570598
3292.4373330077688,Competition Specialist,6733.614905863292
3334.4408898933416,Competition Specialist,6733.608818813999
3376.9803108250912,Competition Specialist,6733.602394126714
3420.062432135391,Competition Specialist,6733.595603481439
3463.6941773717344,Competition Specialist,6733.588415379848
3507.882558409363,Competition Specialist,6733.5807944099715
3552.6346765781395,Competition Specialist,6733.572700956819
3597.9577238037637,Competition Specialist,6733.564090391653
3643.8589837635445,Competition Specialist,6733.554912279374
3690.3458330569547,Competition Specialist,6733.545109409806
3737.425742391064,Competition Specialist,6733.534616617015
3785.106277781153,Competition Specialist,6733.523359347349
3833.3951017666013,Competition Specialist,6733.511251905223
3882.299974642294,Competition Specialist,6733.498195291328
3931.82875570577,Competition Specialist,6733.484074517278
3981.9894045202295,Competition Specialist,6733.468755238028
4032.7899821937053,Competition Specialist,6733.452079507803
4084.2386526745217,Competition Specialist,6733.433860350792
4136.343684063274,Competition Specialist,6733.4138747751
4189.113449941588,Competition Specialist,6733.391854661314
4242.556430717777,Competition Specialist,6733.367474738287
4296.6812149897105,Competition Specialist,6733.340336493126
4351.49650092505,Competition Specialist,6733.309946339252
4407.011097659075,Competition Specialist,6733.275685451106
4463.233926710397,Competition Specialist,6733.236767360131
4520.174023414664,Competition Specialist,6733.192177060374
4577.840538376617,Competition Specialist,6733.140581492289
4636.242738940639,Competition Specialist,6733.080194376517
4695.390010680058,Competition Specialist,6733.008565712889
4755.291858905486,Competition Specialist,6732.922241943494
4815.957910192351,Competition Specialist,6732.816193492793
4877.397913927969,Competition Specialist,6732.682799990617
4939.621743878321,Competition Specialist,6732.50993552695
5002.6393997748,Competition Specialist,6732.277061272921
5066.461008921268,Competition Specialist,6731.946398559985
5131.096827821533,Competition Specialist,6731.440037538148
5196.557243827658,Competition Specialist,6730.5673862500025
5262.852776809257,Competition Specialist,6728.7061375540625
5329.994080844088,Competition Specialist,6721.9872539344005
5397.991945930254,Competition Specialist,6254.785845144664
5466.857299720181,Competition Specialist,5708.436268488646
5536.601209276792,Competition Specialist,5403.756841647929
5607.234882852033,Competition Specialist,5179.7861253972105
5678.76967168809,Competition Specialist,4999.857241627215
5751.217071841614,Competition Specialist,4848.479257504923
5824.588726031214,Competition Specialist,4717.412644670348
5898.896425508493,Competition Specialist,4601.672033019017
5974.152111952983,Competition Specialist,4497.977833284702
6050.367879391224,Competition Specialist,4404.041381697468
6127.555976140354,Competition Specialist,4318.193629818821
6205.7288067765,Competition Specialist,4239.17508831728
6284.898934128248,Competition Specialist,4166.009011224468
6365.079081295571,Competition Specialist,4097.920803192817
6446.282133694491,Competition Specialist,4034.284626435577
6528.521141127847,Competition Specialist,3974.586787967763
6611.809319882495,Competition Specialist,3918.3998944175028
6696.160054853222,Competition Specialist,3865.36414990775
6781.58690169376,Competition Specialist,3815.173529696949
6868.103588995307,Competition Specialist,3767.5653653316267
6955.724020492732,Competition Specialist,3722.31236910479
7044.462277299037,Competition Specialist,3679.2164363982306
7134.332620168256,Competition Specialist,3638.1037661133723
7225.349491787214,Competition Specialist,3598.8209733488284
7317.527519096606,Competition Specialist,3561.231959388571
7410.881515641569,Competition Specialist,3525.215366946028
7505.426483952362,Competition Specialist,3490.6624928641895
7601.17761795533,Competition Specialist,3457.4755621107747
7698.150305414641,Competition Specialist,3425.5662898536557
7796.360130405237,Competition Specialist,3394.854675263611
7895.822875817228,Competition Specialist,3365.2679832336107
7996.554525892347,Competition Specialist,3336.7398796371317
8098.571268792684,Competition Specialist,3309.2096929173713
8201.889499202203,Competition Specialist,3282.6217803001505
8306.525820961508,Competition Specialist,3256.92498118266
8412.49704973612,Competition Specialist,3232.072143574977
8519.8202157189,Competition Specialist,3208.0197120880653
8628.512566366895,Competition Specialist,3184.727368035608
8738.591569173057,Competition Specialist,3162.157717516687
8850.074914473438,Competition Specialist,3140.2758762382696
8962.98051829007,Competition Specialist,3119.049857220524
9077.326525210223,Competition Specialist,3098.4491243773955
9193.131311302326,Competition Specialist,3078.445610669934
9310.413487069076,Competition Specialist,3059.0129461717393
9429.191900438324,Competition Specialist,3040.1263698835796
9549.485639791967,Competition Specialist,3021.7628018091063
9671.314037033631,Competition Specialist,3003.9004801745523
9794.696670695395,Competition Specialist,2986.518789618825
9919.653369084137,Competition Specialist,2969.598491151184
10046.204213468132,Competition Specialist,2953.1213854818193
10174.36954130415,Competition Specialist,2937.070290862994
10304.169949505875,Competition Specialist,2921.4289685209264
10435.626297753925,Competition Specialist,2906.1820548346045
10568.75971184805,Competition Specialist,2891.314999537744
10703.591587102306,Competition Specialist,2876.814009309538
10840.14359178331,Competition Specialist,2862.6659961968985
10978.437670592484,Competition Specialist,2848.858530377261
11118.4960481927,Competition Specialist,2835.379796828596
11260.3412327799,Competition Specialist,2822.218555523089
