t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.19999999999999613,158113.8830084102,-9.205382406618537e-10,2.218519987863424e-19,1.2112595212718079e-25,4.234259668759813e-32,9.029168909277854e-39,-9.188305455628911e-42,-1.6645391483755067e-45,4.22587175777827e-47,-2.652583750276477e-50,2.90775585985085e-47,-3.003193851375364e-51,-3.0916423805390155e-54,-3.00031978476141e-54,-2.999905455258002e-54,-2.999883864486285e-54,-2.999882604975485e-54,-2.999882525964516e-54,-2.999882520892993e-54,-2.9998825203038225e-54,31622.776601683792
1999.0,0.19999999999999993,162178.0403617824,2.3035804334780133e-10,6.200508690149957e-14,-7.470817868536321e-16,-6.64993214111328e-17,1.779686335011995e-17,3.593058110006574e-19,-6.940191224234865e-19,2.066954278981792e-19,4.293126302784072e-20,2.2318889211841004e-18,-2.223885961568154e-20,-2.2238856137256156e-20,-2.2238853691602442e-20,-2.2238853423056997e-20,-2.2238853395499368e-20,-2.2238853388687203e-20,-2.2238853388255554e-20,-2.2238853388180058e-20,-2.2238853391485227e-20,32435.608072358114
1999.0,0.19999999999999732,166346.66276704066,-4.35804563269485e-10,-2.461613202734361e-13,5.136172159220912e-16,8.492459778352878e-17,-2.685397340443629e-17,4.444785019254378e-19,3.896337811845591e-19,-1.1895300778546747e-19,-3.2229403340488505e-20,-1.1003240736974672e-18,-1.1700678027314664e-20,-1.1700623683195608e-20,-1.1700622016576231e-20,-1.1700621868233159e-20,-1.1700621798888801e-20,-1.1700621849027671e-20,-1.1700621848780606e-20,-1.1700621848746088e-20,-1.1700621848744766e-20,33269.332553410386
1999.0,0.2000000000000004,170622.43539264824,7.590270009659405e-10,8.413227711578162e-14,-9.902906193109336e-16,-4.930179578529504e-17,1.1153174886803692e-17,1.2602517209633467e-18,-3.041652591739232e-19,6.624201957947433e-20,-1.1916048284523887e-22,7.377187671306675e-19,-1.5797510843696748e-20,-1.579748114801885e-20,-1.579747917849523e-20,-1.5797479020976702e-20,-1.5797478966620064e-20,-1.5797479009973337e-20,-1.5797478993106967e-20,-1.5797479038983674e-20,-1.579747900954062e-20,34124.487078528895
1999.0,0.19999999999999915,175008.11242653872,-2.0538741644616412e-10,-6.197037401138081e-14,-4.3025036965153073e-16,9.604119691893857e-18,-4.832925338401619e-19,-2.0638653260230848e-19,-1.6424192873617698e-19,4.681274074479161e-21,3.985777545681773e-21,-4.681449705619159e-20,-2.875279956779366e-22,-2.8752968000315985e-22,-2.8752965781861046e-22,-2.8752965436328e-22,-2.8752965380813773e-22,-2.8752965352145215e-22,-2.875296538210315e-22,-2.875296537439012e-22,-2.8752965405092086e-22,35001.62248530942
1999.0,0.1999999999999969,179506.51885034353,-1.5715452422449203e-10,-6.617275514478987e-14,-3.4477591509262075e-16,-2.6727400208983852e-17,1.129187200821161e-17,6.5256433755140875e-19,-3.27319332342235e-19,1.2906355561223253e-19,-1.4563019234702386e-20,1.5161459490217359e-18,-2.9407368064756736e-20,-2.9407305024137373e-20,-2.940730132296724e-20,-2.9407300984753995e-20,-2.940730107901114e-20,-2.9407300933014844e-20,-2.940730093475218e-20,-2.940730103258012e-20,-2.940730097460628e-20,35901.303770070685
1999.0,0.19999999999999646,184120.55225894024,-2.4974804488758426e-10,-9.433357887478415e-14,-2.1990470081139225e-16,-1.5151561040821525e-17,8.607637249636872e-18,4.965547138970884e-19,-2.7317389503738464e-19,1.2054433965343788e-19,-1.1705360957982821e-20,1.3536563350283483e-18,-2.6214852902554068e-20,-2.6214797223257957e-20,-2.62147939127176e-20,-2.621479358798125e-20,-2.6214793559574246e-20,-2.6214793555359207e-20,-2.6214793464727767e-20,-2.6214793547023412e-20,-2.6214793464626063e-20,36824.11045179003
1999.0,0.20000000000002316,188853.18472699402,2.720848769667962e-09,7.072207676352074e-13,-1.1161319583595327e-15,-2.1121883660219688e-16,1.3182172902664861e-17,-8.85928694619873e-20,4.0301571458017074e-19,-5.0321356973861075e-19,5.253744764365987e-20,-5.924707438167411e-18,1.8254840496992513e-19,1.8254791752746759e-19,1.8254789414448154e-19,1.8254789267044104e-19,1.8254789240798556e-19,1.825478915831189e-19,1.825478926238444e-19,1.8254789263464585e-19,1.8254789262335328e-19,37770.63694539364
1999.0,0.19999999999999948,193707.46472319931,3.35674931912336e-10,9.069544480340772e-14,-9.767086434711472e-16,-8.65354869205914e-17,2.3804776810665696e-17,1.4684842381327096e-18,-5.542528974546875e-19,2.129850245788989e-19,-5.738647844008729e-22,1.6517167301864302e-18,-3.6264436379827486e-20,-3.626437230640023e-20,-3.6264367849316266e-20,-3.626436733924939e-20,-3.626436724114471e-20,-3.62643673281959e-20,-3.6264367286355935e-20,-3.6264367237126385e-20,-3.626436729003821e-20,38741.49294464184
1999.0,0.2000000000000056,198686.51907428252,9.63315645312644e-10,1.582573217282371e-13,-1.846095011359938e-15,-1.0903096461048197e-16,1.3387787498592344e-17,-2.4171297792043165e-18,-5.201278805522127e-19,4.0924323274695086e-19,-1.6954014828497115e-20,4.5978948246405504e-18,-4.347483694821959e-20,-4.3474714227472254e-20,-4.3474708331250784e-20,-4.3474707475189597e-20,-4.347470771867915e-20,-4.3474707708186976e-20,-4.3474707705674444e-20,-4.347470770548253e-20,-4.347470770545837e-20,39737.303814856044
1999.0,0.20000000000002055,203793.5549787269,2.6282371998325132e-09,6.831590581615001e-13,-1.0743252243076096e-15,-1.9717463130251125e-16,2.7558580194319187e-17,-1.2419327357661243e-19,7.580129886254415e-19,-3.221835026470481e-19,-1.086174507210371e-19,8.223844521124406e-19,1.4624220338770892e-19,1.462420739523173e-19,1.462420556642604e-19,1.4624205452395651e-19,1.4624205423694382e-19,1.4624205420270603e-19,1.4624205424177588e-19,1.4624205419857168e-19,1.4624205418386381e-19,40758.7109957404
1999.0,0.200000000000001,209031.862072784,-2.736930053851338e-11,-1.3749174193763752e-14,-2.1340247435391663e-16,-1.4520231993211513e-17,4.282997679333467e-18,2.2108820498212454e-19,-9.259424357127439e-20,3.951296100109583e-20,8.244558872644888e-22,8.842551077167361e-20,-5.4031722692173244e-21,-5.403163966875713e-21,-5.4031633111834425e-21,-5.40316323679943e-21,-5.4031632208912516e-21,-5.40316322008404e-21,-5.4031632328630104e-21,-5.403163233791946e-21,-5.403163227068612e-21,41806.37241455762
