t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.19999999999999343,158113.88300841156,-5.898303652198039e-10,-1.4464526279367699e-18,-5.182957095103354e-26,1.0128187583604437e-31,-2.1458153613926245e-37,-2.8217633791717436e-42,3.1545970469180566e-46,1.9517870631005436e-47,1.5348722390112126e-49,1.4679089367941425e-47,3.581730774516734e-52,-2.751931338228209e-52,-2.5851343597987258e-52,-2.551157877917683e-52,-2.5425569669599877e-52,-2.540118388821147e-52,-2.5393720576590275e-52,-2.5391299118333076e-52,-2.5390474551097538e-52,31622.776601683792
1999.0,0.20000000000000004,162178.04036178274,2.0977594131440466e-10,5.639394711312445e-14,-6.897294502715175e-16,-6.378121988442536e-17,1.687494620741755e-17,3.724951414914785e-19,-6.358742883259143e-19,1.9602531498582183e-19,3.964775345662225e-20,2.1171705359875467e-18,-2.091144762084812e-20,-2.0911424096075782e-20,-2.0911397604060498e-20,-2.0911383143041277e-20,-2.091137503526638e-20,-2.0911370401820733e-20,-2.0911367490195254e-20,-2.0911365743725276e-20,-2.091136476775305e-20,32435.608072358114
1999.0,0.19999999999999965,166346.662767045,-2.0978603729418602e-10,-1.151329420866889e-13,-5.803705607043884e-16,4.522519029312917e-17,-8.226128450325063e-18,1.605563544285611e-19,3.5546730800482726e-20,-2.5599261222921e-20,-1.3548845019612922e-20,-2.3458379519886955e-19,-2.984951209055508e-21,-2.984914975778549e-21,-2.9849083162509533e-21,-2.9849056538810144e-21,-2.984904372590238e-21,-2.9849036858351992e-21,-2.984903281759274e-21,-2.9849030333759298e-21,-2.9849028756538327e-21,33269.332553410386
1999.0,0.20000000000000037,170622.43539264827,7.580140019964919e-10,8.406220362603452e-14,-9.813851437603467e-16,-4.979138196395779e-17,1.1185152622024903e-17,1.2617655688400757e-18,-3.03733246179887e-19,6.616464975919338e-20,-1.931102657628609e-22,7.372409804907304e-19,-1.5782771426735195e-20,-1.578271694487922e-20,-1.5782694652089196e-20,-1.578268321638802e-20,-1.5782676970199977e-20,-1.578267341021259e-20,-1.5782671251731182e-20,-1.578267001957924e-20,-1.5782669158260487e-20,34124.487078528895
1999.0,0.19999999999999915,175008.11242653872,-2.0779222595887443e-10,-6.119880382367855e-14,-4.250978247287085e-16,9.443301745671542e-18,-4.86467151590084e-19,-2.034830136057497e-19,-1.6232006551855475e-19,4.782607557162872e-21,3.972154474855852e-21,-4.453607231890281e-20,-2.919052381242006e-22,-2.9190725963291204e-22,-2.919070324617525e-22,-2.9190685436204686e-22,-2.919067461014636e-22,-2.919066830030021e-22,-2.919066429092213e-22,-2.919066192585934e-22,-2.9190660387109624e-22,35001.62248530942
1999.0,0.1999999999999969,179506.5188503435,-1.628473241766762e-10,-6.788341189918692e-14,-3.4007946303783313e-16,-2.6157981275136556e-17,1.119241831818988e-17,6.488477109892026e-19,-3.2620228579413906e-19,1.287946462913129e-19,-1.450339855812146e-20,1.5128291390063062e-18,-2.9363933660027284e-20,-2.936381796188713e-20,-2.936377501716526e-20,-2.936375338902604e-20,-2.9363741773178514e-20,-2.93637351666523e-20,-2.936373126770554e-20,-2.9363728864580087e-20,-2.9363727282792915e-20,35901.303770070685
1999.0,0.20000000000000792,184120.55225895203,1.0349548572561778e-09,1.8911533101336524e-13,-2.1395265040718997e-15,-1.353884718206948e-16,1.7403302281359817e-17,-2.8772803351834324e-18,-7.04034735906583e-19,3.925602752904179e-19,-6.93888078991908e-20,5.27184327004395e-18,-5.791575633783368e-20,-5.791543475973058e-20,-5.79153406690918e-20,-5.791529556147499e-20,-5.791527276208421e-20,-5.79152593522041e-20,-5.791525158705073e-20,-5.791524719334435e-20,-5.791524412856576e-20,36824.11045179003
1999.0,0.19999999999999823,188853.18472695447,5.856328772817091e-10,1.530885925069062e-13,-1.4507975011252402e-15,-1.1888676439735966e-16,1.6455244630959347e-17,-2.3930813958031014e-18,-2.1172333850221755e-19,3.8450090253202893e-19,-6.305103147698416e-20,5.763549891031318e-18,-5.2965110436643306e-20,-5.2964830449785897e-20,-5.296474767139411e-20,-5.2964707724304034e-20,-5.296468681001878e-20,-5.2964674935378714e-20,-5.2964667859374183e-20,-5.296466349972774e-20,-5.2964660766216183e-20,37770.63694539364
1999.0,0.19999999999999954,193707.4647231996,3.217850623076618e-10,8.693558387866104e-14,-9.461817935469502e-16,-8.387842885205605e-17,2.30891526772174e-17,1.4173787747296444e-18,-5.3608850034707435e-19,2.0630803174340497e-19,-6.53837232515217e-22,1.603854962962395e-18,-3.506416619869837e-20,-3.5064046636723405e-20,-3.506399639772023e-20,-3.506397081116153e-20,-3.506395705411708e-20,-3.506394917337996e-20,-3.506394440409918e-20,-3.506394159818341e-20,-3.5063939807189196e-20,38741.49294464184
1999.0,0.2000000000000084,198686.51907428174,1.0589912973738416e-09,2.1050045702217832e-13,-2.369486773464431e-15,-1.765487879408754e-16,4.6024356328915086e-17,4.160619765593693e-18,-1.3573212253447168e-18,4.550470761258783e-19,2.904596863380029e-20,1.7114934469848288e-18,-8.103964461156048e-20,-8.103939439418873e-20,-8.1039278282646e-20,-8.10392188343325e-20,-8.10391867737002e-20,-8.103916850683923e-20,-8.10391576995413e-20,-8.10391510058815e-20,-8.103914671066417e-20,39737.303814856044
