t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.19999999999996906,158113.8830084513,2.6329099742070516e-09,7.62613488697268e-18,1.832090652356716e-25,-7.891496787732705e-31,-1.451380375144815e-36,4.194494171663069e-41,2.9080078879773504e-43,2.3447726311944143e-46,-1.1504245108248463e-48,1.4971228898443875e-46,-3.4240551305940266e-50,-6.70045061511377e-51,-6.421126390005629e-51,-6.374656550277117e-51,-6.365114938889715e-51,-6.362930269948861e-51,-6.362391287770677e-51,-6.36225042582583e-51,-6.362211795724775e-51,31622.776601683792
1999.0,0.1999999999999999,162178.04036178236,2.3368187972477867e-10,6.293897252533277e-14,-7.542967083005723e-16,-6.715487665337018e-17,1.796924433591861e-17,3.6351643066596287e-19,-7.013304088791804e-19,2.0877590905127561e-19,4.341382423736212e-20,2.2543670185732563e-18,-2.2472468932110773e-20,-2.2472441155200488e-20,-2.247241817445365e-20,-2.2472407943968242e-20,-2.2472403160116625e-20,-2.2472400970579413e-20,-2.247239990819897e-20,-2.2472399238071552e-20,-2.2472399089954804e-20,32435.608072358114
1999.0,0.19999999999999904,166346.6627670436,-2.1375730514675635e-10,-5.934391412177316e-14,-4.1344993076584456e-16,9.060006616440156e-18,-4.04340374863233e-19,-1.4633070975391088e-19,-1.4569073767405364e-19,1.6982426282052763e-21,8.222348917514174e-22,-6.297636203755809e-22,-1.0304986877604776e-21,-1.0304971094978448e-21,-1.03049612534449e-21,-1.0304956767236258e-21,-1.0304954668968885e-21,-1.0304953694263074e-21,-1.0304953205130418e-21,-1.0304952957882428e-21,-1.0304952836478073e-21,33269.332553410386
1999.0,0.2000000000000004,170622.43539264824,7.573247673038583e-10,8.404170938740858e-14,-9.811844389367424e-16,-4.972986596286561e-17,1.1176641261520484e-17,1.2597598854947025e-18,-3.033977668511099e-19,6.610795706798447e-20,-1.9943464219039697e-22,7.366561684829557e-19,-1.576340337718553e-20,-1.576334937260202e-20,-1.5763331574029184e-20,-1.5763324122353427e-20,-1.576332071074889e-20,-1.576331921735523e-20,-1.576331849793846e-20,-1.576331804918111e-20,-1.5763317931561986e-20,34124.487078528895
1999.0,0.19999999999999912,175008.11242653866,-2.0906303980222913e-10,-6.080880131369996e-14,-4.223590130210028e-16,9.363747651457828e-18,-4.838529970541214e-19,-2.0296323513941485e-19,-1.616896081065778e-19,4.802621097703997e-21,3.965901516368577e-21,-4.3923239881065863e-20,-2.942046919471021e-22,-2.942065433903131e-22,-2.9420633629663653e-22,-2.9420621571828155e-22,-2.9420615693800496e-22,-2.9420612895988505e-22,-2.942061141741429e-22,-2.9420610789609485e-22,-2.9420610368819343e-22,35001.62248530942
1999.0,0.19999999999999685,179506.51885034353,-1.6134819972201278e-10,-6.757151242902223e-14,-3.37623262097816e-16,-2.6507529511925835e-17,1.124938255197324e-17,6.510212130762589e-19,-3.262322976845796e-19,1.2886091785448824e-19,-1.470743225473638e-20,1.515406368091262e-18,-2.94137895129569e-20,-2.941367569344758e-20,-2.9413641704343567e-20,-2.9413627695785755e-20,-2.9413621499088007e-20,-2.9413618610613605e-20,-2.9413617225331666e-20,-2.941361649838151e-20,-2.9413616126623474e-20,35901.303770070685
1999.0,0.20000000000000343,184120.55225895296,8.468195949620141e-10,1.2035529624555535e-13,-1.4673838236259253e-15,-8.861169310102318e-17,2.198828343285279e-17,2.3049658279358573e-18,-7.1008738340648e-19,1.6231977344689392e-19,3.2182227619724797e-21,1.2128752139902173e-18,-3.441600500003906e-20,-3.4415886273217416e-20,-3.4415843241301106e-20,-3.4415826996054526e-20,-3.4415819774576226e-20,-3.441581665099557e-20,-3.4415814652125807e-20,-3.4415814154407954e-20,-3.4415813502638865e-20,36824.11045179003
1999.0,0.20000000000002321,188853.1847269942,2.7358784801997105e-09,7.109210720228071e-13,-1.1336390636513348e-15,-2.1262827193315545e-16,1.3289986713128882e-17,-9.571459934150513e-20,4.0159234099771016e-19,-5.036805027477319e-19,5.2954062140419205e-20,-5.932747725236623e-18,1.8311830363886947e-19,1.8311745850831748e-19,1.8311723225343595e-19,1.8311714428013067e-19,1.8311710541173805e-19,1.8311708742226835e-19,1.831170787468169e-19,1.8311707354082e-19,1.8311707204160582e-19,37770.63694539364
1999.0,0.19999999999999946,193707.46472319958,3.251986580212883e-10,8.830559297763754e-14,-9.581117645842865e-16,-8.45280136210829e-17,2.3273934508357898e-17,1.4328523828475773e-18,-5.410422849413701e-19,2.0793127590965895e-19,-5.374119271940566e-22,1.6131137242095212e-18,-3.534183566683659e-20,-3.5341716285605867e-20,-3.534167580098979e-20,-3.5341659026264185e-20,-3.5341651606245474e-20,-3.534164810940751e-20,-3.5341646497601445e-20,-3.534164562846348e-20,-3.534164522041123e-20,38741.49294464184
1999.0,0.20000000000000587,198686.51907428243,9.74435453000658e-10,1.6235721100138413e-13,-1.8886175713080978e-15,-1.1259152384364838e-16,1.3865025823410492e-17,-2.5120645834471024e-18,-5.376523164233112e-19,4.234019678973896e-19,-1.77776921469915e-20,4.761447121324759e-18,-4.494737916680282e-20,-4.4947153549062886e-20,-4.494709525626352e-20,-4.494707253150852e-20,-4.4947062828322126e-20,-4.4947058049957984e-20,-4.494705611969471e-20,-4.4947055172155316e-20,-4.4947054659942114e-20,39737.303814856044
1999.0,0.20000000000000034,203793.55497871095,-8.953194431580967e-10,-3.5876835605076974e-13,1.0681344063257508e-15,1.4920311374522667e-16,-1.8479400442842363e-17,2.8280868627249758e-18,1.8373744523976784e-19,-2.403247672691594e-19,4.722271952658434e-21,-3.290550655412229e-18,9.307380028444691e-21,9.307358139195212e-21,9.307346951958937e-21,9.30734259968501e-21,9.307340474531171e-21,9.307339593719534e-21,9.307339123759944e-21,9.307338949370369e-21,9.307338926020557e-21,40758.7109957404
1999.0,0.200000000000001,209031.862072784,-2.7377500285665288e-11,-1.3770143367281868e-14,-2.1383894624584498e-16,-1.455914710141547e-17,4.297361745997017e-18,2.2190622799567066e-19,-9.301293834323756e-20,3.9715997262712147e-20,8.285229279956896e-22,8.895236244295942e-20,-5.436722504453498e-21,-5.436705425177642e-21,-5.4366991870072414e-21,-5.4366965821971554e-21,-5.4366954486695305e-21,-5.436694910314031e-21,-5.436694661902138e-21,-5.436694521190193e-21,-5.436694452607877e-21,41806.37241455762
1999.0,0.19999999999999946,214404.81454961596,-1.6251740797905157e-10,-1.564163070595887e-13,5.03842789115939e-16,3.646184573350962e-17,-6.335996949641538e-18,6.147210773271498e-19,-5.3625423837396763e-20,-3.4148069069711435e-20,-1.0080346653532426e-20,-6.919202799390629e-19,-1.9779583944829076e-22,-1.9776785763511024e-22,-1.9776640933051992e-22,-1.9776614728110871e-22,-1.9776608730285761e-22,-1.977660524317499e-22,-1.9776604626942887e-22,-1.9776604300241873e-22,-1.9776604391743134e-22,42880.962909924616
1999.0,0.19999999999999862,219915.87333251067,-6.680883168769883e-10,-2.450391158696118e-13,5.902622083604958e-16,7.859817434773871e-17,-8.515656171867697e-18,3.4072860369023218e-18,1.1992107359853786e-18,6.710915255867634e-20,-2.635540353103452e-20,7.107950374029997e-18,-6.753520595955609e-21,-6.7534914548793334e-21,-6.753484123051037e-21,-6.753480997549613e-21,-6.7534795981582224e-21,-6.753478935355887e-21,-6.7534786226001e-21,-6.753478456978923e-21,-6.75347837118358e-21,43983.17466650228
1999.0,0.19999999999999957,225568.58830428138,-2.7488921809999876e-10,-6.568095678116063e-14,-9.1295342224856e-16,1.4276641820093245e-16,-1.7598591435611116e-18,-4.354807149389663e-20,1.1313753095772109e-21,7.018405038620556e-23,3.418996435002495e-23,6.7562177729161824e-21,4.626969378938028e-24,4.6269343381405296e-24,4.626928627276113e-24,4.626926401122985e-24,4.626925436017842e-24,4.626924973660452e-24,4.626924749029049e-24,4.626924638540239e-24,4.626924586303024e-24,45113.717660857656
1999.0,0.20000000000000062,231366.60059393814,8.297975558458615e-10,2.4772188200835464e-13,1.2621407010236698e-15,-1.8641219171548183e-16,5.259059069786649e-18,3.2197478147062958e-18,-1.0575116394333574e-18,-5.741355968238847e-19,-1.0284648489031181e-19,-1.0717111370201065e-17,-4.031639894173133e-21,-4.031520837606715e-21,-4.031515082363135e-21,-4.03151305840012e-21,-4.0315121988442405e-21,-4.031511802824498e-21,-4.031511610939731e-21,-4.031511514583773e-21,-4.031511465025358e-21,46273.320118786934
1999.0,0.2000000000000073,237313.644921968,9.999927263124271e-10,2.2277408191939733e-13,-2.3586679360859646e-15,-1.8632883766674582e-16,4.8497240867178273e-17,3.543528740767479e-18,-1.405795262483354e-18,5.700439692131654e-19,7.525263434651156e-20,-1.1873697445678051e-17,-7.187259612671532e-20,-7.18724766510176e-20,-7.187239654655976e-20,-7.187236238448104e-20,-7.187234736277568e-20,-7.187234026195893e-20,-7.187233695286125e-20,-7.187233515193139e-20,-7.187233426780832e-20,47462.728984393456
1999.0,0.20000000000000434,243413.55200611654,9.474524797461258e-10,1.6220173126231683e-13,-1.8844080471318825e-15,-1.0401948058310395e-16,1.1978052257957875e-17,-2.9240655485134377e-18,-6.46018080339633e-19,4.393007539227274e-19,2.0267018884040987e-20,-7.523662894392315e-18,-3.5275916271113e-20,-3.5275817358680035e-20,-3.5275772357057495e-20,-3.527575460296257e-20,-3.527574713090676e-20,-3.527574364553575e-20,-3.527574195756345e-20,-3.5275741122400275e-20,-3.52757406831654e-20,48682.71040122284
1999.0,0.19999999999999943,249670.2510288193,-1.6843002775834102e-10,-1.3287987993745417e-13,1.2196239978915925e-16,2.5873874086718557e-17,-1.2152762889410953e-17,3.3595740185346844e-20,3.4391386397793874e-20,-2.778420476364322e-20,-1.6195784953047372e-20,7.329979330170801e-19,-6.261889496210755e-21,-6.261839142471034e-21,-6.261830899159839e-21,-6.261827788943336e-21,-6.2618264470200186e-21,-6.261825832824482e-21,-6.2618255362564936e-21,-6.261825385631287e-21,-6.2618253079929745e-21,49934.050205765205
1999.0,0.19999999999999893,256087.77216820285,-2.696472480853037e-10,-2.0872250978517736e-13,3.4754007995874165e-16,5.889387656043096e-17,-3.387581629318035e-17,-4.343558295485194e-18,5.77657463880158e-19,2.418734972001517e-19,5.3947889873909546e-20,4.012379653045424e-18,2.2980294843757288e-20,2.2980047116103473e-20,2.2980017426677448e-20,2.2980006115895144e-20,2.2980001238300233e-20,2.2979998982799538e-20,2.297999788950077e-20,2.2979997340748987e-20,2.297999705777647e-20,51217.554433642414
1999.0,0.19999999999999937,262670.24919402454,-1.630731057324896e-10,-1.4864657951371394e-13,4.944174842907074e-16,2.862665692641716e-17,-1.1643687507567918e-17,2.977546968704805e-19,1.677651861901779e-20,-3.5231307495411716e-20,-1.671709682664141e-20,1.332069917037852e-18,-6.380976796688936e-21,-6.38092307232463e-21,-6.3809146594288565e-21,-6.380911470417683e-21,-6.380910112813626e-21,-6.380909471087009e-21,-6.380909154279611e-21,-6.380909021050406e-21,-6.380908949230128e-21,52534.04983880626
1999.0,0.19999999999999968,269421.9221304111,3.9055469529756555e-10,8.353169775499226e-15,-1.0622290983971552e-16,-1.2289911399642972e-18,3.2687639286792903e-20,3.6199240555195657e-20,2.923640798947253e-20,-8.914261825679681e-21,-2.671403143412338e-21,5.223632793801663e-19,7.734791753504192e-22,7.734837185553449e-22,7.734828543416358e-22,7.734824774144394e-22,7.73482313661054e-22,7.734822383019934e-22,7.734821983253025e-22,7.734821837646272e-22,7.734821756053622e-22,53884.38442608224
1999.0,0.2000000000000009,276347.1399870165,-6.827223082073537e-10,2.5587792317800367e-14,5.816440001743858e-16,4.944665804210745e-17,-5.643628214237108e-18,1.8426004940115707e-18,-2.1478573532515594e-19,-2.5916804114597333e-19,-6.362102991955229e-21,6.403378215090201e-18,9.303080378080479e-21,9.303104161674867e-21,9.303093472087136e-21,9.30308899459374e-21,9.303087065899402e-21,9.303086131822874e-21,9.303085686967461e-21,9.30308547754214e-21,9.303085361580777e-21,55269.427997401675
1999.0,0.1999999999999995,283450.3635603652,-1.6090842963471327e-10,-1.8891088171590751e-13,-1.0464927692483537e-15,4.041506623359435e-17,-8.403747715852424e-19,9.90520164664664e-19,-3.7847557712859203e-19,-7.1202953452785e-20,4.001925984082118e-21,-1.531213169232641e-18,1.371911906783671e-21,1.3719014008956436e-21,1.371899501188803e-21,1.371898809225757e-21,1.3718985152530684e-21,1.3718983802637644e-21,1.37189831373207e-21,1.3718982821970459e-21,1.3718982640136554e-21,56690.07271207434
1999.0,0.2000000000000026,290736.16830731364,8.723108243191059e-10,1.282359453323695e-13,-1.501074827902955e-15,-8.119093429372906e-17,7.653885344278755e-18,-3.5409681361351124e-18,-8.42743695671276e-19,3.5275541937458695e-19,5.231334438191509e-20,-3.2995692539882865e-17,-2.1544598720693172e-20,-2.1544732204843963e-20,-2.1544707136080083e-20,-2.1544696711872363e-20,-2.1544692179295758e-20,-2.1544690071990284e-20,-2.1544689021193024e-20,-2.154468850754737e-20,-2.154468826425872e-20,58147.233661462196
1999.0,0.2000000000000047,298209.2472921228,7.599715542655696e-10,1.9002089429386514e-13,-1.8777730236122438e-15,-1.5728024794816516e-16,3.892744292731273e-17,-1.7291231602272304e-18,-3.125325463609809e-18,2.0463217471422997e-19,1.6703804614952065e-19,-5.123173784838384e-17,-1.891625811890664e-21,-1.892248541670374e-21,-1.8922539476569784e-21,-1.892253677254245e-21,-1.8922533632865356e-21,-1.8922531869289538e-21,-1.8922530948156042e-21,-1.8922530504599894e-21,-1.8922530265011407e-21,59641.8494584246
1999.0,0.19999999999997228,305874.41420956276,-7.706424992607825e-10,-1.3655352881749409e-13,-1.2771449342023466e-15,-7.930735514047486e-17,4.063986587641722e-17,-4.185009018373674e-18,-2.7098844052811252e-18,4.36784618978421e-19,1.096259957957937e-19,-6.211025604367086e-17,-7.3938865588884e-21,-7.394134778703506e-21,-7.394129700116613e-21,-7.394126541492057e-21,-7.394125034478143e-21,-7.394124365397052e-21,-7.394123971839942e-21,-7.394123859372643e-21,-7.394123772248036e-21,61174.882841914594
1999.0,0.1999999999999993,313736.60648556723,4.3958056379635923e-10,1.1794547529120025e-13,-1.0668505427814148e-15,-9.815791506328194e-17,3.3560528872381338e-18,-4.367034344257832e-18,-4.496919983308189e-19,4.566898905892575e-19,6.027335966960263e-20,-4.221323914976427e-17,-1.5622129222167006e-20,-1.5622365136172605e-20,-1.5622347084411562e-20,-1.5622339526381282e-20,-1.5622336203444238e-20,-1.5622334669814977e-20,-1.562233392649495e-20,-1.5622333552515254e-20,-1.5622333363987483e-20,62747.32129711575
1999.0,0.20000000000000026,321800.8884575986,8.008615593994872e-10,8.556899451558259e-14,-1.0022929832841094e-15,-4.012217044315985e-17,3.146672807364053e-18,-2.1717407134392864e-18,-6.828508854174782e-19,8.568689335278276e-20,2.734725021770688e-20,-2.0878440775507986e-17,-2.990768402477925e-21,-2.9909254126288652e-21,-2.990922676588656e-21,-2.9909212607276492e-21,-2.990920631825306e-21,-2.9909203383415195e-21,-2.9909201926427774e-21,-2.9909201245011856e-21,-2.9909200837844446e-21,64360.17769151892
1999.0,0.19999999999999996,330072.4546367458,2.0107710746264848e-10,4.788485018471555e-15,4.5308805403884516e-17,-1.5442810843902334e-18,-1.947818870937253e-19,-1.1633643136794863e-19,1.1742287795727496e-19,2.2350575841848933e-20,-2.3665024282933092e-21,-2.0554236962666353e-18,-1.0386780909767982e-21,-1.0386676147603841e-21,-1.0386660774384606e-21,-1.0386655513628171e-21,-1.0386653285252978e-21,-1.0386652264299464e-21,-1.038665176976023e-21,-1.0386651522831352e-21,-1.038665139152936e-21,66014.49092734883
1999.0,0.19999999999999973,338556.63305380323,4.867110179827546e-10,1.3597958902753364e-14,-3.179796246826717e-16,-3.762403104496117e-18,2.8900110839528856e-19,-3.211383831879666e-19,-1.4517916510953806e-19,-1.699200566396947e-21,3.394403663043955e-21,-1.691633804210919e-18,1.4384029609005849e-22,1.4381332629016663e-22,1.4381297481800336e-22,1.4381289510795323e-22,1.4381286382936205e-22,1.4381284975658875e-22,1.4381284354683338e-22,1.438128396800905e-22,1.4381283721631432e-22,67711.32661076066
1999.0,0.1999999999999998,347258.8886911859,2.86930626972855e-10,7.848130318373487e-15,6.13584017662178e-17,-1.671799997102045e-18,-7.550573231293726e-21,2.818343753227451e-19,2.257019836740068e-19,1.7021276523865372e-20,-6.517887607215596e-21,-4.247625460754115e-20,-1.2406414780250463e-21,-1.2405651682953901e-21,-1.2405631553457957e-21,-1.2405625308272042e-21,-1.2405622671183838e-21,-1.240562144948926e-21,-1.240562085954494e-21,-1.240562056313057e-21,-1.2405620411013247e-21,69451.77773823704
1999.0,0.19999999999999943,356184.82700313965,-5.3420490591817045e-11,-2.855569038802495e-14,-3.522040760270433e-16,-2.2941469232228006e-17,3.557953438988619e-18,-2.913325072682675e-18,-9.855339802793073e-19,3.930553883050678e-20,3.4956985348905965e-20,-8.835106912425021e-18,1.7443654010814585e-21,1.7439109152688863e-21,1.74390666262739e-21,1.7439057729340952e-21,1.7439053859030726e-21,1.7439052301468877e-21,1.743905147558095e-21,1.743905102206143e-21,1.7439050808441724e-21,71236.96540062944
1999.0,0.1999999999999988,365340.1975264643,-4.265465143694568e-10,-2.5565862610170235e-13,1.0931612651869482e-15,8.900013127055246e-17,-9.335055786601713e-18,4.894878402295844e-18,7.46614523050363e-19,-4.74876663852545e-20,-1.5011788673946556e-20,2.1143593723834747e-17,-4.04771696636518e-21,-4.047770781795774e-21,-4.047765126589733e-21,-4.0477631014681635e-21,-4.0477622378919466e-21,-4.0477618398354855e-21,-4.047761646542485e-21,-4.0477615501563385e-21,-4.047761500922405e-21,73068.03950529508
1999.0,0.1999999999999999,374730.89758397324,-2.695148108548017e-10,-5.062222846440358e-14,-2.3387318673999968e-17,-3.1902552871703537e-18,-1.3156299308629759e-18,2.697115420114776e-19,-2.2526452012717217e-19,-2.41451231888712e-20,2.5095155632115692e-21,1.3883488815056962e-17,6.246877025422984e-22,6.247346500461519e-22,6.247338023387279e-22,6.247334902754002e-22,6.247333568930908e-22,6.247332956628664e-22,6.24733265796133e-22,6.247332510228545e-22,6.247332433612447e-22,74946.17951679602
1999.0,0.2000000000000007,384362.9760831876,-2.963191215860382e-10,-3.788178591569853e-14,2.3076294232012402e-17,-7.27212741943434e-18,-6.440723713466709e-19,1.6368273722248412e-19,-1.6092396833607152e-19,-1.4882271036782954e-20,2.3491998018611632e-21,8.104498126344899e-18,4.947265585370148e-22,4.947689943467642e-22,4.947683305173293e-22,4.947680853639148e-22,4.947679801805329e-22,4.947679316252811e-22,4.947679080857179e-22,4.947678962504539e-22,4.947678901621059e-22,76872.59521663736
