t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.2000000000000011,158113.88300842972,5.655859190300913e-10,1.8001864799586405e-20,8.734656442374193e-29,-2.3564300979148914e-35,-2.065422578963762e-42,8.76576195445546e-45,3.0873809484915954e-48,-3.518838062836868e-52,-4.470302306869173e-55,-2.5483791599001524e-52,-6.844659753764248e-58,-3.4204865538022673e-59,-3.3149934319773082e-59,-3.300464061405057e-59,-3.297959136837291e-59,-3.2974786961783573e-59,-3.2973794991741392e-59,-3.2973578114486034e-59,-3.2973528365423237e-59,31622.776601683792
1999.0,0.2000000000000002,162178.04036178312,1.8775431291049306e-10,5.044091823226984e-14,-6.129924619207989e-16,-6.206603415618668e-17,1.594476502738316e-17,4.339911453671144e-19,-5.503609891987589e-19,1.8752322820375116e-19,3.544495959502192e-20,2.027045048575454e-18,-1.9624141316663936e-20,-1.962411530859546e-20,-1.9624099227147924e-20,-1.9624093184429627e-20,-1.9624091023077602e-20,-1.962409012225524e-20,-1.9624089770193223e-20,-1.9624089489580132e-20,-1.9624089533156602e-20,32435.608072358114
1999.0,0.1999999999999991,166346.66276704354,-2.1353145031749832e-10,-5.941991175146338e-14,-4.138327985812998e-16,9.072104053890591e-18,-4.0365420055348877e-19,-1.4657821309970877e-19,-1.4585752788127065e-19,1.6894183412095417e-21,8.23415906320573e-22,-7.618459394706516e-22,-1.0296911666167675e-21,-1.0296896745576093e-21,-1.0296888942390375e-21,-1.0296885956629044e-21,-1.0296884777260207e-21,-1.0296884312406623e-21,-1.0296884127718138e-21,-1.0296884046645305e-21,-1.0296883978075699e-21,33269.332553410386
1999.0,0.2000000000000004,170622.4353926482,7.561982097074349e-10,8.39890255552488e-14,-9.792966491716554e-16,-4.9726646945084784e-17,1.1170080232661436e-17,1.2571772625888508e-18,-3.028617371164692e-19,6.601536784535302e-20,-2.211954457667271e-22,7.357564299340351e-19,-1.573410515104097e-20,-1.5734053708265405e-20,-1.5734039640358413e-20,-1.5734034758829372e-20,-1.5734032978261963e-20,-1.573403219718623e-20,-1.573403188688215e-20,-1.5734031778851685e-20,-1.5734031716174573e-20,34124.487078528895
1999.0,0.1999999999999991,175008.11242653872,-2.0314773216091757e-10,-6.269226510985293e-14,-4.342018423315684e-16,9.722574276957865e-18,-5.054607738622482e-19,-2.041828977623074e-19,-1.6389352091332643e-19,4.7723227060904064e-21,3.988650323756516e-21,-4.561605898521392e-20,-2.836601675099169e-22,-2.836619354213636e-22,-2.836617728252481e-22,-2.836616949665413e-22,-2.836616633104268e-22,-2.8366165025642655e-22,-2.8366164540154554e-22,-2.836616428550144e-22,-2.8366164162251044e-22,35001.62248530942
1999.0,0.19999999999999693,179506.51885034356,-1.563962960894629e-10,-6.591845901812866e-14,-3.4546151851928305e-16,-2.6815662506233926e-17,1.1308096067295445e-17,6.539319943767856e-19,-3.2723442477691835e-19,1.293177888070177e-19,-1.4490705321564437e-20,1.5192174689772845e-18,-2.9453211493562245e-20,-2.945310232224977e-20,-2.945307552895657e-20,-2.945306616028215e-20,-2.9453062775825933e-20,-2.945306137081382e-20,-2.9453060892139884e-20,-2.94530606252899e-20,-2.945306046866e-20,35901.303770070685
1999.0,0.1999999999999992,184120.55225894073,-2.3571279122281854e-10,-1.0217747399271354e-13,-5.268951750379969e-16,4.0658925917731337e-17,-7.750309254155004e-18,1.4445334354602604e-19,2.177264555079281e-20,-3.013409345681567e-20,-1.59275776108723e-20,-2.856107821004284e-19,-4.436864952552617e-21,-4.436825748782833e-21,-4.436820760234655e-21,-4.436819240715424e-21,-4.4368186920555684e-21,-4.436818480920804e-21,-4.4368184019526355e-21,-4.4368183712363776e-21,-4.436818352094064e-21,36824.11045179003
1999.0,0.20000000000002324,188853.18472699405,2.7379397281635457e-09,7.1139002987685e-13,-1.1355100489350727e-15,-2.1281436133737979e-16,1.3304129205075721e-17,-9.672899880619687e-20,4.015697410444953e-19,-5.036443906236242e-19,5.299548763093008e-20,-5.9321088646610876e-18,1.831557179169483e-19,1.8315491670577853e-19,1.8315474119923209e-19,1.831546826214757e-19,1.8315466101116518e-19,1.8315465259922047e-19,1.8315464917349265e-19,1.8315464747232244e-19,1.8315464686612932e-19,37770.63694539364
1999.0,0.1999999999999995,193707.46472319975,3.1149625738424604e-10,8.425343111881367e-14,-9.24825845788258e-16,-8.190798630565627e-17,2.2559701150600156e-17,1.3804964483513118e-18,-5.227805502612754e-19,2.0132245256361415e-19,-6.913862040690435e-22,1.567221121641217e-18,-3.417065439081829e-20,-3.417054416264691e-20,-3.4170513411167496e-20,-3.417050267975212e-20,-3.4170498694980147e-20,-3.4170497123361037e-20,-3.417049648105867e-20,-3.417049631316373e-20,-3.417049608870794e-20,38741.49294464184
1999.0,0.20000000000000037,198686.51907428395,7.530301648425588e-10,8.387866808198916e-14,-9.477909611412078e-16,-4.173616695957711e-17,4.356080874334652e-18,-7.28315812907814e-19,-1.5330953093554314e-19,1.3295592886548774e-19,4.9291578035478404e-21,1.4376342782934426e-18,-1.0678772473939895e-20,-1.0678729126882532e-20,-1.0678718551681744e-20,-1.067871499808418e-20,-1.0678713793847252e-20,-1.0678713167058857e-20,-1.0678713037425326e-20,-1.0678712997005298e-20,-1.0678712933890613e-20,39737.303814856044
1999.0,0.19999999999999982,203793.55497870335,2.346144408058171e-10,7.94373472117462e-15,1.0071781674683692e-16,-2.0382748906935934e-18,1.2578165246330827e-19,1.8788650853089807e-19,1.456394851880957e-19,-1.2923504287187879e-20,-8.296977461066411e-21,3.8826681838175414e-19,1.898823701228709e-21,1.8988326059992952e-21,1.898831281588191e-21,1.898830732762955e-21,1.8988305160679277e-21,1.8988304270078918e-21,1.8988303967565714e-21,1.898830377598974e-21,1.898830374863673e-21,40758.7109957404
1999.0,0.20000000000000095,209031.86207278396,-2.7378541344990555e-11,-1.3766059187399883e-14,-2.1394887425785385e-16,-1.4567126803487714e-17,4.300059245651085e-18,2.221102771400822e-19,-9.308471739946106e-20,3.97492603230813e-20,8.300690678040825e-22,8.900925592832045e-20,-5.442060187265618e-21,-5.442043835341886e-21,-5.442038911153724e-21,-5.442037199840078e-21,-5.4420365646079145e-21,-5.442036326080907e-21,-5.4420362182397546e-21,-5.442036176908392e-21,-5.442036148486159e-21,41806.37241455762
1999.0,0.19999999999999948,214404.8145496159,-1.6255174026112644e-10,-1.5657774235941504e-13,5.044878730049489e-16,3.6520238378019654e-17,-6.3419110862704974e-18,6.153634728385213e-19,-5.369052742562726e-20,-3.418755276172288e-20,-1.0088817525808927e-20,-6.928577396101269e-19,-2.0148490620274154e-22,-2.0145797746640485e-22,-2.0145690599247467e-22,-2.0145673809239619e-22,-2.0145669701207994e-22,-2.0145669159242138e-22,-2.0145668616926371e-22,-2.0145668370197402e-22,-2.0145668456197027e-22,42880.962909924616
1999.0,0.20000000000007864,219915.8733324166,-8.631017125832533e-09,-9.295890059369596e-12,3.3169745782226384e-14,5.893094263021164e-15,-1.9561748618636313e-15,-4.8416803627391407e-17,3.262103655200348e-17,-2.1108523324404433e-17,-1.6317461732621854e-18,1.0924289234492833e-17,1.410198849677206e-18,1.4101980427594626e-18,1.4101968547242527e-18,1.4101964193095332e-18,1.4101962543242207e-18,1.4101961909345878e-18,1.4101961633332784e-18,1.4101961544067656e-18,1.4101961491247348e-18,43983.17466650228
1999.0,0.19999999999999937,225568.58830427888,-2.2656483327767335e-10,-1.0648620096847392e-13,-5.446608049405235e-16,4.228134159885496e-17,-7.790900453116922e-18,1.525817035268037e-19,1.3928811703746398e-20,-3.347943242914553e-20,-1.7896630487220187e-20,-9.45690157959511e-20,-6.2948296865464305e-21,-6.294778277029363e-21,-6.2947716580754484e-21,-6.294769585983691e-21,-6.294768839971352e-21,-6.294768545911513e-21,-6.294768428060895e-21,-6.294768375521785e-21,-6.29476835998939e-21,45113.717660857656
1999.0,0.1999999999999993,231366.60059392705,-1.779706762777909e-10,-1.763464852097742e-13,6.092989890032009e-16,3.925559791266813e-17,-1.381572146463339e-17,2.9955384876372054e-19,2.6596193567000672e-20,-4.316287119691388e-20,-1.8352471384573698e-20,-3.4340876383177064e-23,-7.169360351280482e-21,-7.169303299476101e-21,-7.169295823642151e-21,-7.16929347528603e-21,-7.169292612705245e-21,-7.16929228004577e-21,-7.169292142334403e-21,-7.169292088828064e-21,-7.169292063174513e-21,46273.320118786934
1999.0,0.200000000000007,237313.6449219686,1.058884940084839e-09,2.1206578524834017e-13,-2.3895059929572474e-15,-1.7686080571284142e-16,4.551666319315005e-17,3.700614209065816e-18,-1.3942249850224987e-18,5.407489450874686e-19,7.774873935435232e-20,-1.1837291592215317e-17,-7.053149377623347e-20,-7.053138903168771e-20,-7.05313272430118e-20,-7.053130518921553e-20,-7.053129700512329e-20,-7.05312936739587e-20,-7.0531292417686e-20,-7.053129185666287e-20,-7.053129153074486e-20,47462.728984393456
1999.0,0.20000000000000287,243413.55200611686,8.611877287006497e-10,1.2407335586015096e-13,-1.458034312132441e-15,-7.955623873973058e-17,8.867832003692197e-18,-2.173950915680646e-18,-4.852373997586813e-19,3.200750004326672e-19,1.50460763945244e-20,-5.6454462244737786e-18,-2.5473993928724793e-20,-2.547392891369608e-20,-2.5473903376038282e-20,-2.5473895088316977e-20,-2.5473891986525615e-20,-2.5473890876579408e-20,-2.5473890325592418e-20,-2.5473890195234914e-20,-2.5473890037876742e-20,48682.71040122284
1999.0,0.19999999999999943,249670.2510288193,-1.684523433698852e-10,-1.3286475929907543e-13,1.2198900230848503e-16,2.5846231278481272e-17,-1.2149883601152415e-17,3.388480237060691e-20,3.4357671118351863e-20,-2.7788037466628295e-20,-1.6194361146874317e-20,7.325981182412798e-19,-6.25948451089768e-21,-6.259437244181677e-21,-6.2594308155131546e-21,-6.259428753846292e-21,-6.259428013287233e-21,-6.259427727209219e-21,-6.2594276097506605e-21,-6.259427558437898e-21,-6.259427538921826e-21,49934.050205765205
1999.0,0.19999999999999835,256087.77216820102,-4.1538198986780603e-10,-2.4352009143057866e-13,5.014658190459579e-16,7.967433054486624e-17,-2.5837802988722888e-17,-2.1802331343144843e-20,1.7370883864444868e-19,-1.179089214023631e-19,-2.7057032170214722e-20,4.079304965997129e-18,-9.751750893307317e-21,-9.751670338635964e-21,-9.751660184000838e-21,-9.751656969930688e-21,-9.751655827335516e-21,-9.751655378370282e-21,-9.751655222800702e-21,-9.75165511776261e-21,-9.751655100848398e-21,51217.554433642414
1999.0,0.19999999999999937,262670.24919402454,-1.6237398731899854e-10,-1.4326266909806905e-13,1.3649237371215264e-16,2.8855961203515264e-17,-1.2684552448473791e-17,6.468990618167043e-20,4.3518474515933964e-20,-2.7902234321025336e-20,-1.586962948458755e-20,1.5133469201584299e-18,-6.7366213182220316e-21,-6.736571084486174e-21,-6.736564185659314e-21,-6.736561980422845e-21,-6.73656116413143e-21,-6.736560858634012e-21,-6.7365607424301634e-21,-6.736560688142865e-21,-6.736560682754262e-21,52534.04983880626
1999.0,0.1999999999999997,269421.9221304116,3.196778920203244e-10,7.707073501003779e-15,1.8853000079489122e-17,-1.128474983798371e-18,5.843390149572376e-20,1.2366354072618327e-19,8.089136872315837e-20,-1.9029225870269952e-20,-6.4140865194869234e-21,1.5105995868823376e-18,1.198380783479728e-21,1.1983925469935868e-21,1.1983915281602378e-21,1.1983911449473298e-21,1.198391014180233e-21,1.1983909585741927e-21,1.1983909305656707e-21,1.1983909268068107e-21,1.198390920947419e-21,53884.38442608224
1999.0,0.2,276347.139987016,-8.707583237121998e-10,-3.4923638296147906e-13,1.0742161654716897e-15,1.4494629096422328e-16,-3.6081303672716725e-17,5.895195921831631e-19,1.3003141362261819e-18,-7.594245454092613e-20,-3.345407923881581e-20,2.5172373510766463e-17,-5.44045370414387e-22,-5.439921510456162e-22,-5.439906243716409e-22,-5.439903762659143e-22,-5.439903039661255e-22,-5.439902827656426e-22,-5.439902699209465e-22,-5.439902650592731e-22,-5.439902637007127e-22,55269.427997401675
1999.0,0.19999999999999954,283450.3635603652,-1.5778228367881548e-10,-1.868227315061566e-13,-1.0406659916036875e-15,3.985804974394067e-17,-8.012165504229863e-19,9.737844201995323e-19,-3.7322137252786663e-19,-6.969403213804457e-20,3.948844734039922e-21,-1.5345897065386873e-18,1.3262404355463782e-21,1.3262308050924205e-21,1.326229371161854e-21,1.3262289335363828e-21,1.3262287757662575e-21,1.326228714443422e-21,1.3262286897300918e-21,1.3262286782897354e-21,1.3262286747629785e-21,56690.07271207434
1999.0,0.2000000000000009,290736.16830731183,-2.9375228653129406e-10,-3.74627995730053e-14,-8.44843176831188e-18,-7.706160376062365e-18,-1.6267861691142744e-18,1.0335932745676005e-19,-3.6649747295186337e-20,3.00583064910502e-20,8.741639607132647e-21,-8.285343797327362e-19,5.135422341302964e-22,5.135315364912439e-22,5.135309139205681e-22,5.135307391745569e-22,5.135306792682545e-22,5.1353065415600195e-22,5.1353064475436475e-22,5.1353064129870175e-22,5.135306390724032e-22,58147.233661462196
