t,R,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,C_0,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,Sr
1999.0,0.20000000000000234,158113.8830084174,-1.4263864391611375e-09,9.231473954002853e-19,2.1789500598657474e-27,1.8342901916405713e-34,-2.737416618115822e-41,6.330597342634845e-44,-3.3176985055244036e-46,-9.542475746160077e-49,-2.450367682962361e-52,-8.91290833664163e-49,-8.030038853135362e-53,-9.327477829448674e-54,-5.526436023880559e-54,-4.6986748042348373e-54,-4.472720571003868e-54,-4.404295290728827e-54,-4.38245175742938e-54,-4.375337959611445e-54,-4.3730522471984894e-54,31622.776601683792
1999.0,0.19999999999999984,162178.04036178227,2.39583845138743e-10,6.451907634366474e-14,-7.700297892307196e-16,-6.797183310997612e-17,1.8239549536231086e-17,3.5958452285646907e-19,-7.184465642976157e-19,2.116814926746833e-19,4.4313965469592735e-20,2.2857626541465035e-18,-2.2858474711677685e-20,-2.285815916462414e-20,-2.2857843917162978e-20,-2.285764340984665e-20,-2.2857518164703162e-20,-2.2857436185098743e-20,-2.285738118728489e-20,-2.285734289601675e-20,-2.2857315232177127e-20,32435.608072358114
1999.0,0.199999999999999,166346.66276704436,-1.7724122632621762e-10,-1.698878865623167e-13,1.8792251578758154e-16,4.307019385789628e-17,-1.5125505552318877e-17,2.4490717348229844e-19,1.6607224692566607e-19,-1.7959258854817707e-20,-1.369322754991201e-20,-1.2360129209151195e-19,-5.1326040001421236e-21,-5.132257007108871e-21,-5.132127539838921e-21,-5.13206830257218e-21,-5.1320366397989406e-21,-5.1320174097983086e-21,-5.132004783896648e-21,-5.1319961382915786e-21,-5.131989967655348e-21,33269.332553410386
1999.0,0.20000000000000043,170622.43539264824,7.611215518411047e-10,8.422552250848141e-14,-9.934924745159962e-16,-4.93298772480016e-17,1.116692458617886e-17,1.2652768017637922e-18,-3.0517010966121958e-19,6.640741313778515e-20,-8.121875113616597e-23,7.393280615802427e-19,-1.5852998624702016e-20,-1.5852594789678457e-20,-1.5852347610902694e-20,-1.585220327835759e-20,-1.585211501310681e-20,-1.5852058468801112e-20,-1.5852020181077436e-20,-1.5851993508768514e-20,-1.5851974408010082e-20,34124.487078528895
1999.0,0.19999999999999954,175008.11242654026,-2.6781246599704375e-10,-3.8335049323989123e-14,-9.04464406165837e-16,-5.953257481957416e-18,-1.3399129449537497e-19,1.0576423435069864e-19,-8.077551825118644e-20,3.1582273730032323e-20,9.016727521160107e-21,2.945969213742859e-19,-6.060821160780974e-22,-6.060987104132344e-22,-6.060945242671649e-22,-6.060900841654907e-22,-6.060869413669324e-22,-6.060848186633422e-22,-6.06083370713631e-22,-6.060823515903985e-22,-6.060816234837095e-22,35001.62248530942
1999.0,0.19999999999999687,179506.5188503435,-1.6215666595831802e-10,-6.782956384950816e-14,-3.3673699397198376e-16,-2.6430059015565e-17,1.1234950602837435e-17,6.502938537964819e-19,-3.2599438473673382e-19,1.288314216675325e-19,-1.4712651340171386e-20,1.5152393649571411e-18,-2.9412353158841065e-20,-2.941150726409393e-20,-2.941102955028721e-20,-2.941075672338812e-20,-2.9410591940199255e-20,-2.9410486762847954e-20,-2.9410416030052585e-20,-2.9410366483365684e-20,-2.9410331060921253e-20,35901.303770070685
1999.0,0.1999999999999989,184120.552258942,-2.044798464112119e-10,-1.8428067553565413e-13,2.301657247947901e-16,4.643143542725778e-17,-1.6302576946497193e-17,2.796692296666048e-19,1.5378040704820603e-19,-3.94861128783988e-20,-2.0291891124752283e-20,-2.642089561177902e-19,-1.1298945594691498e-20,-1.1298485806454426e-20,-1.129827619656387e-20,-1.129816595753792e-20,-1.1298101335763956e-20,-1.129806061973922e-20,-1.1298033351119168e-20,-1.1298014343983314e-20,-1.129800074026217e-20,36824.11045179003
1999.0,0.20000000000002308,188853.18472699414,2.7230513037931397e-09,7.078402566331726e-13,-1.1198510169904736e-15,-2.11436769170847e-16,1.3197741806302874e-17,-8.9641928613431e-20,4.0306583380071063e-19,-5.032197337885728e-19,5.2552728280166794e-20,-5.9243404616865e-18,1.8261286617609657e-19,1.8260669934332116e-19,1.8260352027380593e-19,1.8260178629826764e-19,1.8260076169474126e-19,1.826001027821425e-19,1.8259966242417553e-19,1.8259935509057884e-19,1.825991343817683e-19,37770.63694539364
1999.0,0.19999999999999954,193707.46472319955,3.237113898579758e-10,8.750401242098481e-14,-9.510118329365029e-16,-8.424147486669325e-17,2.3188592706581527e-17,1.4247266860285184e-18,-5.386051733041027e-19,2.0724404363844094e-19,-6.332065022846051e-22,1.6105003923475274e-18,-3.5231655293888885e-20,-3.5230733178023135e-20,-3.5230173633533427e-20,-3.522984996871842e-20,-3.5229653975147086e-20,-3.522952782676597e-20,-3.522944316545855e-20,-3.5229383787604065e-20,-3.522934131245204e-20,38741.49294464184
1999.0,0.20000000000000615,198686.5190742824,9.878328688008558e-10,1.6757664844575917e-13,-1.9415208799270334e-15,-1.1716629596358262e-16,1.455198243318535e-17,-2.5531715130668026e-18,-5.293565896696278e-19,4.4630288564267195e-19,-2.007689810376458e-20,5.1137135220632265e-18,-4.785558690478617e-20,-4.785377055269523e-20,-4.7852874759536384e-20,-4.785239794283251e-20,-4.785212001933723e-20,-4.7851945728146137e-20,-4.78518298321598e-20,-4.7851749078174595e-20,-4.7851691592238895e-20,39737.303814856044
1999.0,0.200000000000006,203793.55497870414,9.863417038266887e-10,1.6705312658742628e-13,-1.936039797532476e-15,-1.1662246429700652e-16,1.4369230735974853e-17,-2.6147449739992078e-18,-5.24871916118291e-19,4.634465586133498e-19,-1.3350483413772798e-20,4.776360081990846e-18,-4.8292155082917327e-20,-4.82903737350061e-20,-4.8289475508321096e-20,-4.8288998027806797e-20,-4.8288720078552863e-20,-4.828854459640548e-20,-4.8288427566596876e-20,-4.8288346024779364e-20,-4.8288288361053205e-20,40758.7109957404
1999.0,0.20000000000000093,209031.8620727838,-2.7563156488536417e-11,-1.4119090138366635e-14,-2.2093407981428694e-16,-1.5408416414665995e-17,4.585421331988005e-18,2.3906949329589777e-19,-1.0090812791112271e-19,4.358360546630684e-20,8.923862726814997e-22,9.944634640092973e-20,-6.076939225869266e-21,-6.0767816642818094e-21,-6.076684432135949e-21,-6.076628322952879e-21,-6.076594304652467e-21,-6.076572560771128e-21,-6.076557943108136e-21,-6.0765477053991924e-21,-6.076540389228002e-21,41806.37241455762
1999.0,0.19999999999999943,214404.81454961593,-1.6260862956521698e-10,-1.569988204720063e-13,5.059938091315305e-16,3.66692823157306e-17,-6.356863956257393e-18,6.171256513708573e-19,-5.384612516982116e-20,-3.428354302730064e-20,-1.0110235846006866e-20,-6.951917082628538e-19,-2.1134929740647974e-22,-2.1122018589780777e-22,-2.1119602389982358e-22,-2.1118970905581408e-22,-2.1118760937867787e-22,-2.1118667942719655e-22,-2.111861354790539e-22,-2.1118577910790423e-22,-2.111855231612735e-22,42880.962909924616
1999.0,0.200000000000001,219915.87333252467,-6.764914533530459e-10,-2.2548526622133817e-12,5.29406433253849e-15,7.301707601155129e-18,-1.1930340310294827e-19,1.5538555908458558e-22,4.0008878398809135e-22,1.3068483541825056e-23,4.621642464120576e-24,1.7515288973757848e-21,1.4140752158466085e-24,1.4140415502704938e-24,1.4140154757472632e-24,1.4140018391990936e-24,1.4139938482083712e-24,1.4139887745876412e-24,1.413985368402973e-24,1.4139829915117696e-24,1.4139812887682238e-24,43983.17466650228
1999.0,0.1999999999999994,225568.5883042789,-2.265803056968224e-10,-1.065135263829921e-13,-5.443436000522066e-16,4.2311153863550166e-17,-7.79251150954839e-18,1.5218482705663123e-19,1.3949665442496843e-20,-3.347742683333814e-20,-1.7899025144905176e-20,-9.435370590978129e-20,-6.298031575026992e-21,-6.2977197299953864e-21,-6.2975966526011856e-21,-6.297534039301149e-21,-6.2974980778826335e-21,-6.297475356868592e-21,-6.297460149522033e-21,-6.297449546825149e-21,-6.297441956372356e-21,45113.717660857656
1999.0,0.20000000000000104,231366.60059393552,-2.714840023730745e-10,-4.556872665297149e-14,-9.194296514593831e-18,-6.355282856408518e-18,-2.542305902842956e-18,2.1754365647912655e-19,-4.910969923502477e-21,5.0708597593287963e-20,1.3363513335549896e-20,1.0648683391856805e-19,5.499169273572635e-22,5.498681257182775e-22,5.498549936024138e-22,5.498491528542768e-22,5.498459403451713e-22,5.498439499792638e-22,5.498426240103153e-22,5.498416973611267e-22,5.49841035068512e-22,46273.320118786934
1999.0,0.2000000000000072,237313.64492196823,1.0076959350843415e-09,2.2293803214644485e-13,-2.3573008988135967e-15,-1.8758454063054308e-16,4.862149131250783e-17,3.584622612307165e-18,-1.4106128559096365e-18,5.71001444872208e-19,7.558544321420883e-20,-1.1917040168607803e-17,-7.222438088352398e-20,-7.222286647275987e-20,-7.222175022083466e-20,-7.222108947270762e-20,-7.222068721936927e-20,-7.222042860039577e-20,-7.222025451449395e-20,-7.222013314196349e-20,-7.222004604857259e-20,47462.728984393456
1999.0,0.20000000000000334,243413.55200611684,8.927550573788938e-10,1.3382462739645063e-13,-1.57420621949066e-15,-8.805083850164868e-17,9.940262421565272e-18,-2.4396108051870964e-18,-5.400609079897002e-19,3.6275398769276505e-19,1.6620990726910527e-20,-6.288050008408747e-18,-2.9071647991402686e-20,-2.907068484235232e-20,-2.9070154304976984e-20,-2.90698687647848e-20,-2.9069702319904517e-20,-2.9069597247579436e-20,-2.9069527026625565e-20,-2.906947800687423e-20,-2.9069443048313015e-20,48682.71040122284
1999.0,0.1999999999999994,249670.25102881933,-1.6895526167857806e-10,-1.3835287673659502e-13,4.585072636112318e-16,2.5201055603370213e-17,-1.1110449808922894e-17,2.64794828365012e-19,1.1553773406650924e-20,-3.410575183631166e-20,-1.6534844802576005e-20,5.190978438843172e-19,-5.798743195912337e-21,-5.798464239027273e-21,-5.798353149337913e-21,-5.7982961651113926e-21,-5.7982631026248746e-21,-5.7982422246665205e-21,-5.798228243809271e-21,-5.798218494093441e-21,-5.798211511491535e-21,49934.050205765205
1999.0,0.1999999999999994,256087.77216820375,-2.1074970958733316e-10,-6.026787990603543e-14,-4.1990715309519967e-16,9.320329233110127e-18,-5.280369378157073e-19,-1.3252877185956708e-19,-1.0740866265636646e-19,1.1868706113869818e-20,3.585336893909696e-21,-1.5944177927619414e-18,-2.097219030212663e-22,-2.097251372399836e-22,-2.0972245442873686e-22,-2.0972059119437363e-22,-2.09719416188015e-22,-2.0971866106898806e-22,-2.0971815337151144e-22,-2.0971780053513537e-22,-2.0971754707670974e-22,51217.554433642414
1999.0,0.2000000000000009,262670.24919403216,-2.76176582024264e-10,-4.22802090392695e-14,7.8520416859729e-20,-7.852088220685536e-18,-3.652403451479644e-18,1.4513011053960655e-19,4.4500726965696795e-20,5.247587037279766e-20,1.1441477025625456e-20,1.7183483066846096e-19,5.218020061766531e-22,5.217551833524832e-22,5.217431701988074e-22,5.217377088528636e-22,5.217346937956402e-22,5.217328130633833e-22,5.217315539192826e-22,5.217306802641896e-22,5.217300506251389e-22,52534.04983880626
1999.0,0.1999999999999998,269421.922130411,3.769529151819212e-10,8.085350888863139e-15,-7.948884970978413e-17,-1.0930695902044163e-18,2.7892324825512005e-20,5.684324901879748e-20,4.041256078414055e-20,-1.1324327608570815e-20,-3.372148143169671e-21,7.440953217652084e-19,9.249108080698434e-22,9.249015208324401e-22,9.248870083942627e-22,9.248783830564784e-22,9.248731608797546e-22,9.248698318692887e-22,9.248675996832056e-22,9.248660446315968e-22,9.248649304596333e-22,53884.38442608224
1999.0,0.19999999999999896,276347.13998699887,-2.8895449458175813e-10,-2.144431696210476e-13,3.4083392693535885e-16,6.04358119629461e-17,-1.9652380273162825e-17,3.935805127819668e-19,2.1611098206418972e-19,-5.825805726947923e-20,-1.9835187961614828e-20,6.921131567266974e-18,-9.472512333147539e-21,-9.47213264993447e-21,-9.471959867087923e-21,-9.471868367420817e-21,-9.471814707764893e-21,-9.47178067344162e-21,-9.47175784787215e-21,-9.47174191725931e-21,-9.471730517483277e-21,55269.427997401675
1999.0,0.19999999999999948,283450.3635603651,-1.6632131537565915e-10,-1.9245261955930879e-13,-1.0638457166762532e-15,4.17170247096474e-17,-8.998632485573912e-19,1.01628130359063e-18,-3.870449188407333e-19,-7.377776432739085e-20,4.1155663375983965e-21,-1.5252910965019576e-18,1.4674512146418023e-21,1.4673793809853887e-21,1.467350426109037e-21,1.4673358536798044e-21,1.4673274676159998e-21,1.4673221816893473e-21,1.4673186427579319e-21,1.4673161753781088e-21,1.4673144082619526e-21,56690.07271207434
1999.0,0.1999999999999997,290736.1683073108,4.5401408326331705e-10,1.1060846452369946e-14,-2.498682213605799e-16,-4.033525466380166e-18,7.632065866300988e-19,5.354171750880659e-20,-6.018523256660976e-20,-2.6463467895482064e-21,1.4001607411317542e-21,-7.459501053309875e-19,1.3187879258966037e-22,1.3186766795161604e-22,1.3186471074843747e-22,1.3186335192004927e-22,1.3186259251059923e-22,1.318621173678147e-22,1.3186179963594988e-22,1.318615780598435e-22,1.3186141924894152e-22,58147.233661462196
1999.0,0.19999999999999968,298209.24729212286,4.6507291124085557e-10,1.1855970902526231e-14,-2.679613329344654e-16,-3.1520652895394288e-18,1.319153005750539e-19,-1.4566689152980043e-19,-5.100670051468058e-20,6.4289994896885694e-21,1.7159626906452833e-21,-1.5951755434668913e-18,-1.503902657148475e-22,-1.5039398339709918e-22,-1.5039164858850928e-22,-1.5039021830064734e-22,-1.5038935271300933e-22,-1.5038880934025773e-22,-1.5038844651428523e-22,-1.5038819246275875e-22,-1.5038800990364684e-22,59641.8494584246
1999.0,0.2000000000000056,305874.4142095737,9.88823678750032e-10,2.2237222585296986e-13,-2.321016606321632e-15,-1.825621385104321e-16,4.452418065726043e-17,-2.011273813818229e-18,-3.988616446613856e-18,1.9685626346886087e-19,2.15172948361863e-19,-5.2743834026195063e-17,-3.1440243618232506e-21,-3.145806798154263e-21,-3.145946971541069e-21,-3.1459551491800117e-21,-3.1459457013938025e-21,-3.14593670260005e-21,-3.1459295716829286e-21,-3.145924301374763e-21,-3.1459205993371205e-21,61174.882841914594
1999.0,0.19999999999999937,313736.60648556706,4.4477582249912323e-10,1.1929405999277438e-13,-1.077032301243937e-15,-9.883904592344917e-17,3.1957198760236452e-18,-4.816412736941731e-18,-6.572351199304005e-19,4.403529453423985e-19,7.579491698890844e-20,-4.661352066981468e-17,-9.760187678537626e-21,-9.760368494331584e-21,-9.760214620299518e-21,-9.760123222880769e-21,-9.760068237991722e-21,-9.760033151845201e-21,-9.760009594857505e-21,-9.759993182423345e-21,-9.759981424377343e-21,62747.32129711575
1999.0,0.1999999999999996,321800.88845758815,-1.5714101179827213e-10,-1.863840197178033e-13,-1.0383214504719282e-15,4.001308300632122e-17,-4.16351509082461e-19,9.838323742845308e-19,-4.1036248191935106e-19,-8.577503240046301e-20,3.9177188672066584e-22,1.0471718516616185e-17,1.089277236575183e-21,1.0892372778532441e-21,1.0892160832637374e-21,1.0892053149355244e-21,1.0891991075700848e-21,1.0891951864822872e-21,1.0891925597923366e-21,1.0891907280338353e-21,1.0891894167716453e-21,64360.17769151892
